# Unicode Emoji 17.0 机器可读版
# 生成日期: 2026-02-13
# 数据源: emoji-test.txt (官方17.0)
# 字段: 字符	码位序列	状态	版本	名称
# 行数: 包含 fully/minimally/unqualified/component，完全未过滤
🐉	1F409	fully-qualified	E1.0	dragon
🦕	1F995	fully-qualified	E5.0	sauropod
🦖	1F996	fully-qualified	E5.0	T-Rex
🐳	1F433	fully-qualified	E0.6	spouting whale
🐋	1F40B	fully-qualified	E1.0	whale
🐬	1F42C	fully-qualified	E0.6	dolphin
🫍	1FACD	fully-qualified	E17.0	orca
🦭	1F9AD	fully-qualified	E13.0	seal
🐟	1F41F	fully-qualified	E0.6	fish
🐠	1F420	fully-qualified	E0.6	tropical fish
🐡	1F421	fully-qualified	E0.6	blowfish
🦈	1F988	fully-qualified	E3.0	shark
🐙	1F419	fully-qualified	E0.6	octopus
🐚	1F41A	fully-qualified	E0.6	spiral shell
🪸	1FAB8	fully-qualified	E14.0	coral
🪼	1FABC	fully-qualified	E15.0	jellyfish
🦀	1F980	fully-qualified	E1.0	crab
🦞	1F99E	fully-qualified	E11.0	lobster
🦐	1F990	fully-qualified	E3.0	shrimp
🦑	1F991	fully-qualified	E3.0	squid
🦪	1F9AA	fully-qualified	E12.0	oyster
🐌	1F40C	fully-qualified	E0.6	snail
🦋	1F98B	fully-qualified	E3.0	butterfly
🐛	1F41B	fully-qualified	E0.6	bug
🐜	1F41C	fully-qualified	E0.6	ant
🐝	1F41D	fully-qualified	E0.6	honeybee
🪲	1FAB2	fully-qualified	E13.0	beetle
🐞	1F41E	fully-qualified	E0.6	lady beetle
🦗	1F997	fully-qualified	E5.0	cricket
🪳	1FAB3	fully-qualified	E13.0	cockroach
🕷️	1F577 FE0F	fully-qualified	E0.7	spider
🕷	1F577	unqualified	E0.7	spider
🕸️	1F578 FE0F	fully-qualified	E0.7	spider web
🕸	1F578	unqualified	E0.7	spider web
🦂	1F982	fully-qualified	E1.0	scorpion
🦟	1F99F	fully-qualified	E11.0	mosquito
🪰	1FAB0	fully-qualified	E13.0	fly
🪱	1FAB1	fully-qualified	E13.0	worm
🦠	1F9A0	fully-qualified	E11.0	microbe
💐	1F490	fully-qualified	E0.6	bouquet
🌸	1F338	fully-qualified	E0.6	cherry blossom
💮	1F4AE	fully-qualified	E0.6	white flower
🪷	1FAB7	fully-qualified	E14.0	lotus
🏵️	1F3F5 FE0F	fully-qualified	E0.7	rosette
🏵	1F3F5	unqualified	E0.7	rosette
🌹	1F339	fully-qualified	E0.6	rose
🥀	1F940	fully-qualified	E3.0	wilted flower
🌺	1F33A	fully-qualified	E0.6	hibiscus
🌻	1F33B	fully-qualified	E0.6	sunflower
🌼	1F33C	fully-qualified	E0.6	blossom
🌷	1F337	fully-qualified	E0.6	tulip
🪻	1FABB	fully-qualified	E15.0	hyacinth
🌱	1F331	fully-qualified	E0.6	seedling
🪴	1FAB4	fully-qualified	E13.0	potted plant
🌲	1F332	fully-qualified	E1.0	evergreen tree
🌳	1F333	fully-qualified	E1.0	deciduous tree
🌴	1F334	fully-qualified	E0.6	palm tree
🌵	1F335	fully-qualified	E0.6	cactus
🌾	1F33E	fully-qualified	E0.6	sheaf of rice
🌿	1F33F	fully-qualified	E0.6	herb
☘️	2618 FE0F	fully-qualified	E1.0	shamrock
☘	2618	unqualified	E1.0	shamrock
🍀	1F340	fully-qualified	E0.6	four leaf clover
🍁	1F341	fully-qualified	E0.6	maple leaf
🍂	1F342	fully-qualified	E0.6	fallen leaf
🍃	1F343	fully-qualified	E0.6	leaf fluttering in wind
🪹	1FAB9	fully-qualified	E14.0	empty nest
🪺	1FABA	fully-qualified	E14.0	nest with eggs
🍄	1F344	fully-qualified	E0.6	mushroom
🪾	1FABE	fully-qualified	E16.0	leafless tree
🍇	1F347	fully-qualified	E0.6	grapes
🍈	1F348	fully-qualified	E0.6	melon
🍉	1F349	fully-qualified	E0.6	watermelon
🍊	1F34A	fully-qualified	E0.6	tangerine
🍋	1F34B	fully-qualified	E1.0	lemon
🍋‍🟩	1F34B 200D 1F7E9	fully-qualified	E15.1	lime
🍌	1F34C	fully-qualified	E0.6	banana
🍍	1F34D	fully-qualified	E0.6	pineapple
🥭	1F96D	fully-qualified	E11.0	mango
🍎	1F34E	fully-qualified	E0.6	red apple
🍏	1F34F	fully-qualified	E0.6	green apple
🍐	1F350	fully-qualified	E1.0	pear
🍑	1F351	fully-qualified	E0.6	peach
🍒	1F352	fully-qualified	E0.6	cherries
🍓	1F353	fully-qualified	E0.6	strawberry
🫐	1FAD0	fully-qualified	E13.0	blueberries
🥝	1F95D	fully-qualified	E3.0	kiwi fruit
🍅	1F345	fully-qualified	E0.6	tomato
🫒	1FAD2	fully-qualified	E13.0	olive
🥥	1F965	fully-qualified	E5.0	coconut
🥑	1F951	fully-qualified	E3.0	avocado
🍆	1F346	fully-qualified	E0.6	eggplant
🥔	1F954	fully-qualified	E3.0	potato
🥕	1F955	fully-qualified	E3.0	carrot
🌽	1F33D	fully-qualified	E0.6	ear of corn
🌶️	1F336 FE0F	fully-qualified	E0.7	hot pepper
🌶	1F336	unqualified	E0.7	hot pepper
🫑	1FAD1	fully-qualified	E13.0	bell pepper
🥒	1F952	fully-qualified	E3.0	cucumber
🥬	1F96C	fully-qualified	E11.0	leafy green
🥦	1F966	fully-qualified	E5.0	broccoli
🧄	1F9C4	fully-qualified	E12.0	garlic
🧅	1F9C5	fully-qualified	E12.0	onion
🥜	1F95C	fully-qualified	E3.0	peanuts
🫘	1FAD8	fully-qualified	E14.0	beans
🌰	1F330	fully-qualified	E0.6	chestnut
🫚	1FADA	fully-qualified	E15.0	ginger root
🫛	1FADB	fully-qualified	E15.0	pea pod
🍄‍🟫	1F344 200D 1F7EB	fully-qualified	E15.1	brown mushroom
🫜	1FADC	fully-qualified	E16.0	root vegetable
🍞	1F35E	fully-qualified	E0.6	bread
🥐	1F950	fully-qualified	E3.0	croissant
🥖	1F956	fully-qualified	E3.0	baguette bread
🫓	1FAD3	fully-qualified	E13.0	flatbread
🥨	1F968	fully-qualified	E5.0	pretzel
🥯	1F96F	fully-qualified	E11.0	bagel
🥞	1F95E	fully-qualified	E3.0	pancakes
🧇	1F9C7	fully-qualified	E12.0	waffle
🧀	1F9C0	fully-qualified	E1.0	cheese wedge
🍖	1F356	fully-qualified	E0.6	meat on bone
🍗	1F357	fully-qualified	E0.6	poultry leg
🥩	1F969	fully-qualified	E5.0	cut of meat
🥓	1F953	fully-qualified	E3.0	bacon
🍔	1F354	fully-qualified	E0.6	hamburger
🍟	1F35F	fully-qualified	E0.6	french fries
🍕	1F355	fully-qualified	E0.6	pizza
🌭	1F32D	fully-qualified	E1.0	hot dog
🥪	1F96A	fully-qualified	E5.0	sandwich
🌮	1F32E	fully-qualified	E1.0	taco
🌯	1F32F	fully-qualified	E1.0	burrito
🫔	1FAD4	fully-qualified	E13.0	tamale
🥙	1F959	fully-qualified	E3.0	stuffed flatbread
🧆	1F9C6	fully-qualified	E12.0	falafel
🥚	1F95A	fully-qualified	E3.0	egg
🍳	1F373	fully-qualified	E0.6	cooking
🥘	1F958	fully-qualified	E3.0	shallow pan of food
🍲	1F372	fully-qualified	E0.6	pot of food
🫕	1FAD5	fully-qualified	E13.0	fondue
🥣	1F963	fully-qualified	E5.0	bowl with spoon
🥗	1F957	fully-qualified	E3.0	green salad
🍿	1F37F	fully-qualified	E1.0	popcorn
🧈	1F9C8	fully-qualified	E12.0	butter
🧂	1F9C2	fully-qualified	E11.0	salt
🥫	1F96B	fully-qualified	E5.0	canned food
🍱	1F371	fully-qualified	E0.6	bento box
🍘	1F358	fully-qualified	E0.6	rice cracker
🍙	1F359	fully-qualified	E0.6	rice ball
🍚	1F35A	fully-qualified	E0.6	cooked rice
🍛	1F35B	fully-qualified	E0.6	curry rice
🍜	1F35C	fully-qualified	E0.6	steaming bowl
🍝	1F35D	fully-qualified	E0.6	spaghetti
🍠	1F360	fully-qualified	E0.6	roasted sweet potato
🍢	1F362	fully-qualified	E0.6	oden
🍣	1F363	fully-qualified	E0.6	sushi
🍤	1F364	fully-qualified	E0.6	fried shrimp
🍥	1F365	fully-qualified	E0.6	fish cake with swirl
🥮	1F96E	fully-qualified	E11.0	moon cake
🍡	1F361	fully-qualified	E0.6	dango
🥟	1F95F	fully-qualified	E5.0	dumpling
🥠	1F960	fully-qualified	E5.0	fortune cookie
🥡	1F961	fully-qualified	E5.0	takeout box
🍦	1F366	fully-qualified	E0.6	soft ice cream
🍧	1F367	fully-qualified	E0.6	shaved ice
🍨	1F368	fully-qualified	E0.6	ice cream
🍩	1F369	fully-qualified	E0.6	doughnut
🍪	1F36A	fully-qualified	E0.6	cookie
🎂	1F382	fully-qualified	E0.6	birthday cake
🍰	1F370	fully-qualified	E0.6	shortcake
🧁	1F9C1	fully-qualified	E11.0	cupcake
🥧	1F967	fully-qualified	E5.0	pie
🍫	1F36B	fully-qualified	E0.6	chocolate bar
🍬	1F36C	fully-qualified	E0.6	candy
🍭	1F36D	fully-qualified	E0.6	lollipop
🍮	1F36E	fully-qualified	E0.6	custard
🍯	1F36F	fully-qualified	E0.6	honey pot
🍼	1F37C	fully-qualified	E1.0	baby bottle
🥛	1F95B	fully-qualified	E3.0	glass of milk
☕	2615	fully-qualified	E0.6	hot beverage
🫖	1FAD6	fully-qualified	E13.0	teapot
🍵	1F375	fully-qualified	E0.6	teacup without handle
🍶	1F376	fully-qualified	E0.6	sake
🍾	1F37E	fully-qualified	E1.0	bottle with popping cork
🍷	1F377	fully-qualified	E0.6	wine glass
🍸	1F378	fully-qualified	E0.6	cocktail glass
🍹	1F379	fully-qualified	E0.6	tropical drink
🍺	1F37A	fully-qualified	E0.6	beer mug
🍻	1F37B	fully-qualified	E0.6	clinking beer mugs
🥂	1F942	fully-qualified	E3.0	clinking glasses
🥃	1F943	fully-qualified	E3.0	tumbler glass
🫗	1FAD7	fully-qualified	E14.0	pouring liquid
🥤	1F964	fully-qualified	E5.0	cup with straw
🧋	1F9CB	fully-qualified	E13.0	bubble tea
🧃	1F9C3	fully-qualified	E12.0	beverage box
🧉	1F9C9	fully-qualified	E12.0	mate
🧊	1F9CA	fully-qualified	E12.0	ice
🥢	1F962	fully-qualified	E5.0	chopsticks
🍽️	1F37D FE0F	fully-qualified	E0.7	fork and knife with plate
🍽	1F37D	unqualified	E0.7	fork and knife with plate
🍴	1F374	fully-qualified	E0.6	fork and knife
🥄	1F944	fully-qualified	E3.0	spoon
🔪	1F52A	fully-qualified	E0.6	kitchen knife
🫙	1FAD9	fully-qualified	E14.0	jar
🏺	1F3FA	fully-qualified	E1.0	amphora
🌍	1F30D	fully-qualified	E0.7	globe showing Europe-Africa
🌎	1F30E	fully-qualified	E0.7	globe showing Americas
🌏	1F30F	fully-qualified	E0.6	globe showing Asia-Australia
🌐	1F310	fully-qualified	E1.0	globe with meridians
🗺️	1F5FA FE0F	fully-qualified	E0.7	world map
🗺	1F5FA	unqualified	E0.7	world map
🗾	1F5FE	fully-qualified	E0.6	map of Japan
🧭	1F9ED	fully-qualified	E11.0	compass
🏔️	1F3D4 FE0F	fully-qualified	E0.7	snow-capped mountain
🏔	1F3D4	unqualified	E0.7	snow-capped mountain
⛰️	26F0 FE0F	fully-qualified	E0.7	mountain
⛰	26F0	unqualified	E0.7	mountain
🛘	1F6D8	fully-qualified	E17.0	landslide
🌋	1F30B	fully-qualified	E0.6	volcano
🗻	1F5FB	fully-qualified	E0.6	mount fuji
🏕️	1F3D5 FE0F	fully-qualified	E0.7	camping
🏕	1F3D5	unqualified	E0.7	camping
🏖️	1F3D6 FE0F	fully-qualified	E0.7	beach with umbrella
🏖	1F3D6	unqualified	E0.7	beach with umbrella
🏜️	1F3DC FE0F	fully-qualified	E0.7	desert
🏜	1F3DC	unqualified	E0.7	desert
🏝️	1F3DD FE0F	fully-qualified	E0.7	desert island
🏝	1F3DD	unqualified	E0.7	desert island
🏞️	1F3DE FE0F	fully-qualified	E0.7	national park
🏞	1F3DE	unqualified	E0.7	national park
🏟️	1F3DF FE0F	fully-qualified	E0.7	stadium
🏟	1F3DF	unqualified	E0.7	stadium
🏛️	1F3DB FE0F	fully-qualified	E0.7	classical building
🏛	1F3DB	unqualified	E0.7	classical building
🏗️	1F3D7 FE0F	fully-qualified	E0.7	building construction
🏗	1F3D7	unqualified	E0.7	building construction
🧱	1F9F1	fully-qualified	E11.0	brick
🪨	1FAA8	fully-qualified	E13.0	rock
🪵	1FAB5	fully-qualified	E13.0	wood
🛖	1F6D6	fully-qualified	E13.0	hut
🏘️	1F3D8 FE0F	fully-qualified	E0.7	houses
🏘	1F3D8	unqualified	E0.7	houses
🏚️	1F3DA FE0F	fully-qualified	E0.7	derelict house
🏚	1F3DA	unqualified	E0.7	derelict house
🏠	1F3E0	fully-qualified	E0.6	house
🏡	1F3E1	fully-qualified	E0.6	house with garden
🏢	1F3E2	fully-qualified	E0.6	office building
🏣	1F3E3	fully-qualified	E0.6	Japanese post office
🏤	1F3E4	fully-qualified	E1.0	post office
🏥	1F3E5	fully-qualified	E0.6	hospital
🏦	1F3E6	fully-qualified	E0.6	bank
🏨	1F3E8	fully-qualified	E0.6	hotel
🏩	1F3E9	fully-qualified	E0.6	love hotel
🏪	1F3EA	fully-qualified	E0.6	convenience store
🏫	1F3EB	fully-qualified	E0.6	school
🏬	1F3EC	fully-qualified	E0.6	department store
🏭	1F3ED	fully-qualified	E0.6	factory
🏯	1F3EF	fully-qualified	E0.6	Japanese castle
🏰	1F3F0	fully-qualified	E0.6	castle
💒	1F492	fully-qualified	E0.6	wedding
🗼	1F5FC	fully-qualified	E0.6	Tokyo tower
🗽	1F5FD	fully-qualified	E0.6	Statue of Liberty
⛪	26EA	fully-qualified	E0.6	church
🕌	1F54C	fully-qualified	E1.0	mosque
🛕	1F6D5	fully-qualified	E12.0	hindu temple
🕍	1F54D	fully-qualified	E1.0	synagogue
⛩️	26E9 FE0F	fully-qualified	E0.7	shinto shrine
⛩	26E9	unqualified	E0.7	shinto shrine
🕋	1F54B	fully-qualified	E1.0	kaaba
⛲	26F2	fully-qualified	E0.6	fountain
⛺	26FA	fully-qualified	E0.6	tent
🌁	1F301	fully-qualified	E0.6	foggy
🌃	1F303	fully-qualified	E0.6	night with stars
🏙️	1F3D9 FE0F	fully-qualified	E0.7	cityscape
🏙	1F3D9	unqualified	E0.7	cityscape
🌄	1F304	fully-qualified	E0.6	sunrise over mountains
🌅	1F305	fully-qualified	E0.6	sunrise
🌆	1F306	fully-qualified	E0.6	cityscape at dusk
🌇	1F307	fully-qualified	E0.6	sunset
🌉	1F309	fully-qualified	E0.6	bridge at night
♨️	2668 FE0F	fully-qualified	E0.6	hot springs
♨	2668	unqualified	E0.6	hot springs
🎠	1F3A0	fully-qualified	E0.6	carousel horse
🛝	1F6DD	fully-qualified	E14.0	playground slide
🎡	1F3A1	fully-qualified	E0.6	ferris wheel
🎢	1F3A2	fully-qualified	E0.6	roller coaster
💈	1F488	fully-qualified	E0.6	barber pole
🎪	1F3AA	fully-qualified	E0.6	circus tent
🚂	1F682	fully-qualified	E1.0	locomotive
🚃	1F683	fully-qualified	E0.6	railway car
🚄	1F684	fully-qualified	E0.6	high-speed train
🚅	1F685	fully-qualified	E0.6	bullet train
🚆	1F686	fully-qualified	E1.0	train
🚇	1F687	fully-qualified	E0.6	metro
🚈	1F688	fully-qualified	E1.0	light rail
🚉	1F689	fully-qualified	E0.6	station
🚊	1F68A	fully-qualified	E1.0	tram
🚝	1F69D	fully-qualified	E1.0	monorail
🚞	1F69E	fully-qualified	E1.0	mountain railway
🚋	1F68B	fully-qualified	E1.0	tram car
🚌	1F68C	fully-qualified	E0.6	bus
🚍	1F68D	fully-qualified	E0.7	oncoming bus
🚎	1F68E	fully-qualified	E1.0	trolleybus
🚐	1F690	fully-qualified	E1.0	minibus
🚑	1F691	fully-qualified	E0.6	ambulance
🚒	1F692	fully-qualified	E0.6	fire engine
🚓	1F693	fully-qualified	E0.6	police car
🚔	1F694	fully-qualified	E0.7	oncoming police car
🚕	1F695	fully-qualified	E0.6	taxi
🚖	1F696	fully-qualified	E1.0	oncoming taxi
🚗	1F697	fully-qualified	E0.6	automobile
🚘	1F698	fully-qualified	E0.7	oncoming automobile
🚙	1F699	fully-qualified	E0.6	sport utility vehicle
🛻	1F6FB	fully-qualified	E13.0	pickup truck
🚚	1F69A	fully-qualified	E0.6	delivery truck
🚛	1F69B	fully-qualified	E1.0	articulated lorry
🚜	1F69C	fully-qualified	E1.0	tractor
🏎️	1F3CE FE0F	fully-qualified	E0.7	racing car
🏎	1F3CE	unqualified	E0.7	racing car
🏍️	1F3CD FE0F	fully-qualified	E0.7	motorcycle
🏍	1F3CD	unqualified	E0.7	motorcycle
🛵	1F6F5	fully-qualified	E3.0	motor scooter
🦽	1F9BD	fully-qualified	E12.0	manual wheelchair
🦼	1F9BC	fully-qualified	E12.0	motorized wheelchair
🛺	1F6FA	fully-qualified	E12.0	auto rickshaw
🚲	1F6B2	fully-qualified	E0.6	bicycle
🛴	1F6F4	fully-qualified	E3.0	kick scooter
🛹	1F6F9	fully-qualified	E11.0	skateboard
🛼	1F6FC	fully-qualified	E13.0	roller skate
🚏	1F68F	fully-qualified	E0.6	bus stop
🛣️	1F6E3 FE0F	fully-qualified	E0.7	motorway
🛣	1F6E3	unqualified	E0.7	motorway
🛤️	1F6E4 FE0F	fully-qualified	E0.7	railway track
🛤	1F6E4	unqualified	E0.7	railway track
🛢️	1F6E2 FE0F	fully-qualified	E0.7	oil drum
🛢	1F6E2	unqualified	E0.7	oil drum
⛽	26FD	fully-qualified	E0.6	fuel pump
🛞	1F6DE	fully-qualified	E14.0	wheel
🚨	1F6A8	fully-qualified	E0.6	police car light
🚥	1F6A5	fully-qualified	E0.6	horizontal traffic light
🚦	1F6A6	fully-qualified	E1.0	vertical traffic light
🛑	1F6D1	fully-qualified	E3.0	stop sign
🚧	1F6A7	fully-qualified	E0.6	construction
⚓	2693	fully-qualified	E0.6	anchor
🛟	1F6DF	fully-qualified	E14.0	ring buoy
⛵	26F5	fully-qualified	E0.6	sailboat
🛶	1F6F6	fully-qualified	E3.0	canoe
🚤	1F6A4	fully-qualified	E0.6	speedboat
🛳️	1F6F3 FE0F	fully-qualified	E0.7	passenger ship
🛳	1F6F3	unqualified	E0.7	passenger ship
⛴️	26F4 FE0F	fully-qualified	E0.7	ferry
⛴	26F4	unqualified	E0.7	ferry
🛥️	1F6E5 FE0F	fully-qualified	E0.7	motor boat
🛥	1F6E5	unqualified	E0.7	motor boat
🚢	1F6A2	fully-qualified	E0.6	ship
✈️	2708 FE0F	fully-qualified	E0.6	airplane
✈	2708	unqualified	E0.6	airplane
🛩️	1F6E9 FE0F	fully-qualified	E0.7	small airplane
🛩	1F6E9	unqualified	E0.7	small airplane
🛫	1F6EB	fully-qualified	E1.0	airplane departure
🛬	1F6EC	fully-qualified	E1.0	airplane arrival
🪂	1FA82	fully-qualified	E12.0	parachute
💺	1F4BA	fully-qualified	E0.6	seat
🚁	1F681	fully-qualified	E1.0	helicopter
🚟	1F69F	fully-qualified	E1.0	suspension railway
🚠	1F6A0	fully-qualified	E1.0	mountain cableway
🚡	1F6A1	fully-qualified	E1.0	aerial tramway
🛰️	1F6F0 FE0F	fully-qualified	E0.7	satellite
🛰	1F6F0	unqualified	E0.7	satellite
🚀	1F680	fully-qualified	E0.6	rocket
🛸	1F6F8	fully-qualified	E5.0	flying saucer
🛎️	1F6CE FE0F	fully-qualified	E0.7	bellhop bell
🛎	1F6CE	unqualified	E0.7	bellhop bell
🧳	1F9F3	fully-qualified	E11.0	luggage
⌛	231B	fully-qualified	E0.6	hourglass done
⏳	23F3	fully-qualified	E0.6	hourglass not done
⌚	231A	fully-qualified	E0.6	watch
⏰	23F0	fully-qualified	E0.6	alarm clock
⏱️	23F1 FE0F	fully-qualified	E1.0	stopwatch
⏱	23F1	unqualified	E1.0	stopwatch
⏲️	23F2 FE0F	fully-qualified	E1.0	timer clock
⏲	23F2	unqualified	E1.0	timer clock
🕰️	1F570 FE0F	fully-qualified	E0.7	mantelpiece clock
🕰	1F570	unqualified	E0.7	mantelpiece clock
🕛	1F55B	fully-qualified	E0.6	twelve o’clock
🕧	1F567	fully-qualified	E0.7	twelve-thirty
🕐	1F550	fully-qualified	E0.6	one o’clock
🕜	1F55C	fully-qualified	E0.7	one-thirty
🕑	1F551	fully-qualified	E0.6	two o’clock
🕝	1F55D	fully-qualified	E0.7	two-thirty
🕒	1F552	fully-qualified	E0.6	three o’clock
🕞	1F55E	fully-qualified	E0.7	three-thirty
🕓	1F553	fully-qualified	E0.6	four o’clock
🕟	1F55F	fully-qualified	E0.7	four-thirty
🕔	1F554	fully-qualified	E0.6	five o’clock
🕠	1F560	fully-qualified	E0.7	five-thirty
🕕	1F555	fully-qualified	E0.6	six o’clock
🕡	1F561	fully-qualified	E0.7	six-thirty
🕖	1F556	fully-qualified	E0.6	seven o’clock
🕢	1F562	fully-qualified	E0.7	seven-thirty
🕗	1F557	fully-qualified	E0.6	eight o’clock
🕣	1F563	fully-qualified	E0.7	eight-thirty
🕘	1F558	fully-qualified	E0.6	nine o’clock
🕤	1F564	fully-qualified	E0.7	nine-thirty
🕙	1F559	fully-qualified	E0.6	ten o’clock
🕥	1F565	fully-qualified	E0.7	ten-thirty
🕚	1F55A	fully-qualified	E0.6	eleven o’clock
🕦	1F566	fully-qualified	E0.7	eleven-thirty
🌑	1F311	fully-qualified	E0.6	new moon
🌒	1F312	fully-qualified	E1.0	waxing crescent moon
🌓	1F313	fully-qualified	E0.6	first quarter moon
🌔	1F314	fully-qualified	E0.6	waxing gibbous moon
🌕	1F315	fully-qualified	E0.6	full moon
🌖	1F316	fully-qualified	E1.0	waning gibbous moon
🌗	1F317	fully-qualified	E1.0	last quarter moon
🌘	1F318	fully-qualified	E1.0	waning crescent moon
🌙	1F319	fully-qualified	E0.6	crescent moon
🌚	1F31A	fully-qualified	E1.0	new moon face
🌛	1F31B	fully-qualified	E0.6	first quarter moon face
🌜	1F31C	fully-qualified	E0.7	last quarter moon face
🌡️	1F321 FE0F	fully-qualified	E0.7	thermometer
🌡	1F321	unqualified	E0.7	thermometer
☀️	2600 FE0F	fully-qualified	E0.6	sun
☀	2600	unqualified	E0.6	sun
🌝	1F31D	fully-qualified	E1.0	full moon face
🌞	1F31E	fully-qualified	E1.0	sun with face
🪐	1FA90	fully-qualified	E12.0	ringed planet
⭐	2B50	fully-qualified	E0.6	star
🌟	1F31F	fully-qualified	E0.6	glowing star
🌠	1F320	fully-qualified	E0.6	shooting star
🌌	1F30C	fully-qualified	E0.6	milky way
☁️	2601 FE0F	fully-qualified	E0.6	cloud
☁	2601	unqualified	E0.6	cloud
⛅	26C5	fully-qualified	E0.6	sun behind cloud
⛈️	26C8 FE0F	fully-qualified	E0.7	cloud with lightning and rain
⛈	26C8	unqualified	E0.7	cloud with lightning and rain
🌤️	1F324 FE0F	fully-qualified	E0.7	sun behind small cloud
🌤	1F324	unqualified	E0.7	sun behind small cloud
🌥️	1F325 FE0F	fully-qualified	E0.7	sun behind large cloud
🌥	1F325	unqualified	E0.7	sun behind large cloud
🌦️	1F326 FE0F	fully-qualified	E0.7	sun behind rain cloud
🌦	1F326	unqualified	E0.7	sun behind rain cloud
🌧️	1F327 FE0F	fully-qualified	E0.7	cloud with rain
🌧	1F327	unqualified	E0.7	cloud with rain
🌨️	1F328 FE0F	fully-qualified	E0.7	cloud with snow
🌨	1F328	unqualified	E0.7	cloud with snow
🌩️	1F329 FE0F	fully-qualified	E0.7	cloud with lightning
🌩	1F329	unqualified	E0.7	cloud with lightning
🌪️	1F32A FE0F	fully-qualified	E0.7	tornado
🌪	1F32A	unqualified	E0.7	tornado
🌫️	1F32B FE0F	fully-qualified	E0.7	fog
🌫	1F32B	unqualified	E0.7	fog
🌬️	1F32C FE0F	fully-qualified	E0.7	wind face
🌬	1F32C	unqualified	E0.7	wind face
🌀	1F300	fully-qualified	E0.6	cyclone
🌈	1F308	fully-qualified	E0.6	rainbow
🌂	1F302	fully-qualified	E0.6	closed umbrella
☂️	2602 FE0F	fully-qualified	E0.7	umbrella
☂	2602	unqualified	E0.7	umbrella
☔	2614	fully-qualified	E0.6	umbrella with rain drops
⛱️	26F1 FE0F	fully-qualified	E0.7	umbrella on ground
⛱	26F1	unqualified	E0.7	umbrella on ground
